customer_txn_count_60m,customer_amount_mean_prior,amount_deviation_ratio,is_new_device,is_new_merchant,location_shift,customer_device_degree,customer_merchant_degree,device_customer_degree,merchant_customer_degree,shared_device_customer_count,relationship_risk_score,is_fraud
9,196.69,1.7526,0,0,0,11,4,9,15,5,0.7293,1
3,34.87,-0.9198,0,0,0,2,1,0,4,0,0.1601,0
3,66.21,-0.2723,0,0,0,1,4,0,8,0,0.0379,0
2,40.61,-0.4694,0,0,0,1,2,0,5,0,0.0664,0
3,28.39,0.9268,0,0,0,1,1,0,2,0,0.1409,0
0,47.24,-0.6402,0,0,0,2,5,1,7,0,0.0111,0
4,24.55,0.0357,0,0,0,2,3,0,6,1,0.2712,0
7,216.25,1.5735,1,0,1,6,6,6,15,1,0.9133,1
1,57.34,-0.8905,0,0,0,1,3,3,3,0,0.1578,0
0,52.53,-1.0,0,0,0,3,3,1,5,0,0.0977,0
1,46.35,-0.6746,0,0,0,2,2,0,6,0,0.0389,0
0,41.75,0.0916,0,0,0,2,5,2,11,1,0.0102,0
10,136.41,4.3508,0,0,1,3,8,4,6,4,0.9375,1
1,73.87,1.2627,0,0,0,2,3,1,3,1,0.1651,0
4,39.24,0.4042,0,0,0,3,1,1,2,0,0.1236,0
1,69.36,-1.0,0,0,0,0,3,2,7,0,0.3125,0
1,36.36,1.5953,0,0,0,3,6,1,6,1,0.0031,0
0,58.19,-1.0,0,0,0,0,2,1,4,0,0.0505,0
2,47.59,-0.5289,0,0,0,1,6,3,5,2,0.3701,0
3,112.17,0.1442,0,0,0,1,6,4,6,2,0.2888,0
8,212.61,3.5813,0,1,0,3,14,5,20,1,0.4336,1
0,62.99,-1.0,0,0,0,3,2,2,6,0,0.0273,0
1,10.64,0.4192,0,0,0,2,0,0,3,0,0.1858,0
3,15.27,0.4793,0,0,0,1,3,1,1,0,0.0367,0
0,17.61,-0.5225,0,0,0,1,6,1,5,0,0.0308,0
0,23.5,-1.0,0,0,0,2,5,0,4,0,0.1108,0
1,39.78,0.2954,0,0,0,0,4,1,4,0,0.1735,0
2,73.04,0.836,0,0,0,4,1,1,4,0,0.129,0
1,68.07,0.0107,0,0,0,3,4,0,6,0,0.1508,0
4,77.75,-0.0061,0,0,0,3,7,1,6,0,0.3144,0
1,11.88,0.8852,0,0,0,0,2,2,5,0,0.033,0
12,234.02,2.1256,1,1,1,3,9,5,14,4,0.6388,1
0,67.17,0.1473,0,0,0,0,1,2,5,1,0.2913,0
13,69.25,3.4225,0,0,0,6,8,5,17,4,0.6952,1
0,25.44,1.1183,0,0,0,1,5,1,7,0,0.2729,0
0,83.04,-0.1909,0,0,0,1,3,2,5,0,0.0035,0
0,82.77,-0.028,0,0,1,0,5,2,7,0,0.0002,0
3,128.86,0.0599,0,0,0,1,2,0,4,0,0.1905,0
1,78.24,-0.077,0,0,0,1,5,2,7,0,0.0093,0
2,65.47,-0.7625,0,0,0,1,5,3,9,0,0.0061,0
1,67.23,-0.3994,0,0,0,2,1,0,7,0,0.1833,0
0,37.5,0.3257,0,0,0,0,4,4,1,1,0.1667,0
3,131.57,-0.0868,1,0,0,0,0,5,4,0,0.0039,0
0,121.01,-0.4523,0,0,0,1,2,0,5,1,0.0608,0
1,18.92,-1.0,0,0,0,1,1,0,5,0,0.0666,0
0,66.25,1.1313,0,0,0,3,1,1,1,1,0.0134,0
1,94.99,-0.2967,0,0,0,4,3,2,6,0,0.0232,0
2,9.34,0.7512,0,1,0,0,2,0,4,1,0.2383,0
9,137.36,1.9939,0,1,0,3,12,6,16,3,0.562,1
3,83.39,0.5611,0,0,0,2,2,2,5,0,0.0778,0
1,47.56,-0.5375,0,0,0,2,4,2,8,1,0.0675,0
2,35.95,0.2765,0,0,1,0,3,2,8,0,0.0487,0
3,80.83,0.0268,0,0,0,0,2,5,4,1,0.095,0
2,121.55,0.3265,0,0,0,2,3,1,7,0,0.0023,0
0,80.8,-1.0,0,0,1,0,3,1,2,1,0.0047,0
0,52.61,-0.4264,0,1,0,1,3,0,5,0,0.1231,0
1,81.37,-0.3927,0,0,0,2,0,1,2,0,0.0003,0
0,85.82,-1.0,0,0,0,2,3,1,12,1,0.0634,0
2,12.27,-0.0647,0,0,0,2,0,0,5,1,0.016,0
1,41.47,0.5166,0,0,0,3,5,1,6,1,0.0492,0
0,79.77,-0.2831,0,0,0,1,4,0,6,0,0.431,0
10,38.85,1.8967,1,0,0,3,4,2,14,1,0.5555,1
1,31.91,-0.1698,0,0,0,1,3,2,10,0,0.0193,0
1,121.01,-0.0998,0,0,1,0,5,0,5,0,0.0245,0
0,231.47,-0.567,0,0,0,2,2,2,6,2,0.0206,0
6,52.99,3.5893,1,0,0,7,7,7,18,5,0.5943,1
2,9.6,0.6222,0,0,0,2,5,0,9,1,0.3051,0
1,12.26,-1.0,0,0,0,4,2,1,3,0,0.0017,0
0,36.34,0.951,0,0,0,0,4,1,6,0,0.0122,0
3,22.28,-0.8832,0,0,0,1,7,3,1,0,0.0418,0
2,67.07,0.0988,0,0,0,2,3,1,7,0,0.4888,0
3,57.67,-0.7477,0,1,0,2,5,0,2,0,0.356,0
0,94.97,-1.0,0,1,0,1,1,1,6,1,0.0066,0
2,8.61,0.051,0,0,1,2,2,2,5,0,0.0477,0
8,66.74,4.6712,1,1,1,4,5,5,24,7,0.4853,1
3,126.63,-0.3461,0,0,0,1,4,2,3,0,0.0464,0
2,216.34,-0.638,0,0,0,0,2,1,5,0,0.3617,0
2,64.77,-0.3836,0,0,0,3,4,2,3,0,0.0021,0
6,24.46,-0.4268,0,0,0,1,2,0,6,1,0.0067,0
0,128.83,0.5095,0,0,0,1,0,1,4,0,0.0252,0
12,73.81,2.5546,1,1,0,3,8,4,20,0,0.6012,1
1,45.99,-0.2174,0,0,0,0,4,1,2,1,0.072,0
1,21.07,0.5382,0,0,0,0,6,0,5,0,0.2406,0
9,143.5,4.1923,1,1,0,5,9,6,14,6,0.5444,1
1,40.49,-0.065,0,0,0,1,5,2,6,0,0.0254,0
0,27.53,-0.8408,0,1,0,2,1,1,6,0,0.0384,0
0,6.81,0.6839,0,1,0,0,5,1,5,1,0.1029,0
4,117.48,-0.1499,0,0,0,1,1,3,6,0,0.0196,0
1,50.53,0.8978,0,0,0,0,3,0,4,0,0.1038,0
1,35.42,1.2632,0,0,1,1,1,2,2,0,0.0,0
1,28.33,-0.217,0,0,0,2,6,0,6,3,0.0005,0
1,62.56,0.7323,0,1,0,1,1,1,3,0,0.0011,0
2,16.75,-1.0,0,0,0,2,0,0,6,0,0.0849,0
4,35.22,0.3181,0,0,0,1,4,0,8,0,0.0327,0
5,49.23,0.0246,0,0,0,0,2,2,4,0,0.1163,0
0,27.21,0.191,0,0,0,2,4,0,5,1,0.0015,0
6,38.63,-0.5183,0,0,0,0,2,1,3,1,0.3254,0
2,2.01,-0.6475,0,1,0,2,1,3,4,2,0.1354,0
1,4.35,-0.0749,0,0,0,0,1,2,8,0,0.0814,0
2,29.66,-0.5478,1,0,0,1,1,1,7,0,0.0041,0
1,62.03,-0.1083,0,0,1,3,5,1,2,0,0.1195,0
2,44.96,-0.9526,1,1,0,2,2,1,6,0,0.2169,0
0,41.56,-1.0,0,0,0,3,4,0,5,0,0.0063,0
3,141.61,0.1762,0,0,0,0,1,1,9,0,0.1017,0
2,15.89,-1.0,1,0,0,0,4,1,9,0,0.0231,0
0,10.97,0.6467,0,0,0,2,3,1,6,0,0.007,0
3,46.48,0.2362,0,0,0,3,5,2,4,0,0.0153,0
1,20.56,-1.0,0,0,0,0,1,1,2,3,0.0246,0
2,3.56,0.2689,0,0,0,2,3,1,6,1,0.0088,0
8,252.59,2.9405,1,0,1,4,9,4,16,3,0.6544,1
0,27.96,-0.0957,0,0,0,1,5,1,2,1,0.0149,0
4,47.56,-0.3674,0,1,0,0,2,2,5,0,0.0417,0
8,111.11,3.1166,1,0,0,1,3,4,16,7,0.7676,1
0,61.36,0.5005,0,0,0,1,3,0,2,0,0.1134,0
